tier,n_scored,recall@1,capped_recall@1,hit@1,precision@1,ndcg@1,recall@3,capped_recall@3,hit@3,precision@3,ndcg@3,recall@5,capped_recall@5,hit@5,precision@5,ndcg@5,recall@10,capped_recall@10,hit@10,precision@10,ndcg@10,mrr
1,45,0.1431,0.5111,0.5111,0.5111,0.5111,0.3728,0.5333,0.6444,0.4815,0.5177,0.4665,0.5411,0.6889,0.4,0.5214,0.5696,0.5872,0.7333,0.2578,0.5376,0.578
2,25,0.161,0.6,0.6,0.6,0.6,0.3547,0.6,0.84,0.5467,0.5975,0.4403,0.5933,0.84,0.456,0.5899,0.6032,0.6857,0.92,0.372,0.6372,0.7173
3,30,0.0685,0.6,0.6,0.6,0.6,0.1973,0.6056,0.7333,0.6,0.6071,0.2772,0.58,0.7667,0.5533,0.5891,0.4059,0.5569,0.8667,0.4133,0.5544,0.6876
