mode,recall@1,recall@5,recall@10,recall@20,recall@50,mrr,ndcg@10,hit_rate@10,hit_rate@20,any_match,zero_recall@10,zero_recall@20
bm25,0.0696969696969697,0.25555555555555554,0.3333333333333333,0.41717171717171714,0.4575757575757575,0.7702899513505574,0.4194235027136424,0.8888888888888888,0.9393939393939394,0.9393939393939394,11,6
dense,0.09494949494949495,0.4353535353535354,0.6636363636363637,0.7484848484848484,0.9121212121212121,0.9586894586894587,0.7420785958055972,0.9797979797979798,0.98989898989899,0.98989898989899,2,1
hybrid,0.09797979797979799,0.47070707070707074,0.791919191919192,0.9474747474747475,0.9909090909090909,0.98989898989899,0.8486741747139668,1.0,1.0,1.0,0,0
hybrid_rerank,0.07676767676767678,0.31313131313131315,0.5040404040404041,0.7222222222222222,0.9909090909090909,0.8644781144781144,0.5640638285820709,1.0,1.0,1.0,0,0
