category,n_scored,recall@1,capped_recall@1,hit@1,precision@1,ndcg@1,recall@3,capped_recall@3,hit@3,precision@3,ndcg@3,recall@5,capped_recall@5,hit@5,precision@5,ndcg@5,recall@10,capped_recall@10,hit@10,precision@10,ndcg@10,mrr
appointments,14,0.0523,0.3571,0.3571,0.3571,0.3571,0.0949,0.3095,0.5,0.3095,0.3192,0.1153,0.2702,0.5,0.2571,0.2948,0.2944,0.3845,0.7143,0.2643,0.3375,0.4407
billing,8,0.0246,0.5,0.5,0.5,0.5,0.1156,0.5417,0.625,0.5417,0.5293,0.1753,0.5667,0.75,0.55,0.5476,0.2777,0.5167,0.75,0.4875,0.5143,0.5729
diagnosis,11,0.1307,0.3636,0.3636,0.3636,0.3636,0.2975,0.4697,0.6364,0.3939,0.4415,0.4039,0.5061,0.7273,0.3818,0.4653,0.4909,0.5142,0.8182,0.2727,0.475,0.5015
labs,13,0.1298,0.4615,0.4615,0.4615,0.4615,0.3381,0.4615,0.5385,0.4359,0.4615,0.4054,0.4872,0.6154,0.3385,0.4729,0.5676,0.5821,0.7692,0.2385,0.5098,0.541
meds,14,0.2274,0.7857,0.7857,0.7857,0.7857,0.5286,0.6786,0.9286,0.6429,0.7034,0.669,0.6762,0.9286,0.5,0.695,0.819,0.819,0.9286,0.3071,0.7648,0.8571
multi,16,0.0406,0.5,0.5,0.5,0.5,0.122,0.5312,0.75,0.5208,0.528,0.1697,0.5062,0.75,0.4875,0.5096,0.2781,0.4554,0.8125,0.3937,0.4621,0.6312
records,11,0.1065,0.6364,0.6364,0.6364,0.6364,0.3094,0.6667,0.8182,0.6364,0.6448,0.4073,0.6364,0.8182,0.5455,0.6237,0.5318,0.6167,0.8182,0.3636,0.5899,0.7121
vitals,13,0.2662,0.8462,0.8462,0.8462,0.8462,0.6833,0.9231,0.9231,0.7949,0.8846,0.8479,0.9077,0.9231,0.6615,0.8745,0.9231,0.9231,0.9231,0.3846,0.8824,0.8718
