category,n_scored,recall@1,capped_recall@1,hit@1,precision@1,ndcg@1,recall@3,capped_recall@3,hit@3,precision@3,ndcg@3,recall@5,capped_recall@5,hit@5,precision@5,ndcg@5,recall@10,capped_recall@10,hit@10,precision@10,ndcg@10,mrr
appointments,14,0.0523,0.3571,0.3571,0.3571,0.3571,0.0949,0.3095,0.5,0.3095,0.3192,0.151,0.306,0.5714,0.2714,0.3117,0.2944,0.3845,0.7143,0.2643,0.3413,0.447
billing,8,0.0246,0.5,0.5,0.5,0.5,0.0739,0.5,0.5,0.5,0.5,0.1503,0.575,0.75,0.575,0.5529,0.3944,0.65,0.875,0.5375,0.5616,0.575
diagnosis,11,0.1307,0.3636,0.3636,0.3636,0.3636,0.3089,0.5,0.7273,0.4242,0.4628,0.4267,0.5424,0.8182,0.4182,0.494,0.5363,0.5597,0.9091,0.3091,0.5103,0.5318
labs,13,0.1452,0.5385,0.5385,0.5385,0.5385,0.3843,0.5385,0.6154,0.5128,0.5385,0.4824,0.5641,0.6923,0.4154,0.5498,0.7061,0.7205,0.9231,0.3077,0.6197,0.6289
meds,14,0.2417,0.8571,0.8571,0.8571,0.8571,0.5833,0.7738,1.0,0.7381,0.796,0.7381,0.7476,1.0,0.5714,0.7723,0.9262,0.9262,1.0,0.3643,0.863,0.9286
multi,16,0.0459,0.625,0.625,0.625,0.625,0.1467,0.6771,0.875,0.6667,0.6715,0.2049,0.6437,0.875,0.625,0.648,0.3089,0.5366,0.875,0.475,0.5633,0.75
records,11,0.1065,0.6364,0.6364,0.6364,0.6364,0.3094,0.6667,0.8182,0.6364,0.6448,0.4528,0.6818,0.9091,0.5636,0.6453,0.5773,0.6621,0.9091,0.3727,0.6114,0.7303
vitals,13,0.2772,0.9231,0.9231,0.9231,0.9231,0.7163,1.0,1.0,0.8718,0.9615,0.9028,0.9846,1.0,0.7385,0.9514,1.0,1.0,1.0,0.4385,0.9593,0.9487
