category,n_scored,recall@1,capped_recall@1,hit@1,precision@1,ndcg@1,recall@3,capped_recall@3,hit@3,precision@3,ndcg@3,recall@5,capped_recall@5,hit@5,precision@5,ndcg@5,recall@10,capped_recall@10,hit@10,precision@10,ndcg@10,mrr
appointments,14,0.0523,0.3571,0.3571,0.3571,0.3571,0.0949,0.3095,0.5,0.3095,0.3192,0.1153,0.2702,0.5,0.2571,0.2948,0.2944,0.3845,0.7143,0.2643,0.337,0.4399
billing,8,0.0246,0.5,0.5,0.5,0.5,0.1156,0.5417,0.625,0.5417,0.5293,0.1753,0.5667,0.75,0.55,0.5476,0.2777,0.5167,0.75,0.4875,0.5143,0.5729
diagnosis,11,0.1307,0.3636,0.3636,0.3636,0.3636,0.2975,0.4697,0.6364,0.3939,0.4415,0.4039,0.5061,0.7273,0.3818,0.4653,0.4909,0.5142,0.8182,0.2727,0.475,0.5015
labs,13,0.1452,0.5385,0.5385,0.5385,0.5385,0.3843,0.5385,0.6154,0.5128,0.5385,0.4824,0.5641,0.6923,0.4154,0.5498,0.6446,0.659,0.8462,0.2769,0.5859,0.6161
meds,14,0.2274,0.7857,0.7857,0.7857,0.7857,0.5405,0.7024,0.9286,0.6667,0.7246,0.681,0.6905,0.9286,0.5143,0.7103,0.8548,0.8548,0.9286,0.3286,0.7934,0.8571
multi,16,0.0406,0.5,0.5,0.5,0.5,0.1309,0.5521,0.75,0.5417,0.5465,0.1786,0.5187,0.75,0.5,0.523,0.2785,0.4554,0.75,0.3938,0.4689,0.625
records,11,0.1065,0.6364,0.6364,0.6364,0.6364,0.3094,0.6667,0.8182,0.6364,0.6448,0.4073,0.6364,0.8182,0.5455,0.6237,0.5318,0.6167,0.8182,0.3636,0.5899,0.7121
vitals,13,0.2662,0.8462,0.8462,0.8462,0.8462,0.6833,0.9231,0.9231,0.7949,0.8846,0.8479,0.9077,0.9231,0.6615,0.8745,0.9231,0.9231,0.9231,0.3846,0.8824,0.8718
