tier,n_scored,recall@1,capped_recall@1,hit@1,precision@1,ndcg@1,recall@3,capped_recall@3,hit@3,precision@3,ndcg@3,recall@5,capped_recall@5,hit@5,precision@5,ndcg@5,recall@10,capped_recall@10,hit@10,precision@10,ndcg@10,mrr
1,45,0.1551,0.5778,0.5778,0.5778,0.5778,0.408,0.6074,0.7111,0.5556,0.591,0.5494,0.6404,0.8222,0.4889,0.6085,0.7082,0.7287,0.8889,0.3311,0.646,0.6628
2,25,0.161,0.6,0.6,0.6,0.6,0.3547,0.6,0.84,0.5467,0.5975,0.4403,0.5933,0.84,0.456,0.5899,0.6032,0.6857,0.92,0.372,0.6368,0.7164
3,30,0.0713,0.6667,0.6667,0.6667,0.6667,0.2105,0.6833,0.8,0.6778,0.6837,0.296,0.6533,0.8333,0.6267,0.6629,0.4223,0.6003,0.9,0.4567,0.6081,0.7506
