tier,n_scored,recall@1,capped_recall@1,hit@1,precision@1,ndcg@1,recall@3,capped_recall@3,hit@3,precision@3,ndcg@3,recall@5,capped_recall@5,hit@5,precision@5,ndcg@5,recall@10,capped_recall@10,hit@10,precision@10,ndcg@10,mrr
1,45,0.1475,0.5333,0.5333,0.5333,0.5333,0.3898,0.563,0.6667,0.5111,0.5465,0.4924,0.5678,0.7111,0.4267,0.5484,0.603,0.6206,0.7556,0.2756,0.5687,0.6002
2,25,0.161,0.6,0.6,0.6,0.6,0.3547,0.6,0.84,0.5467,0.5975,0.4403,0.5933,0.84,0.456,0.5899,0.6032,0.6857,0.92,0.372,0.6368,0.7164
3,30,0.0685,0.6,0.6,0.6,0.6,0.2021,0.6167,0.7333,0.6111,0.617,0.2819,0.5867,0.7667,0.56,0.5963,0.406,0.5569,0.8333,0.4133,0.5577,0.6839
